run,game_seconds,worker_target,base_target,posture,attack_threshold,retreat_threshold,reservation,objective,guidance
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,597.6785714285714,60,4,defend,60,30,26,"Regroup after sustained losses, rebuild with Colossus support, and secure a fourth mineral base.","Apply MULTI-DEFEND immediately to regroup the depleted attack. Add a second Robotics Facility; prioritize Colossi when the pending Bay completes, then Immortals and Stalkers. Start thermal lance when available and retain the Observer escort. Current mineral and gas saturation supports 60 workers; replace losses only. Establish a fourth after initial combat reinforcements to receive workers as the oldest base depletes. Build Pylons only for forecast supply or power needs. Historical enemy counts do not establish current strength."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,655.1785714285714,72,4,attack,60,36,,Attack the remembered enemy expansion at 60 ready combat supply while reinforcing with Colossi and saturating the fourth base.,"Launch once 60 ready combat supply is available; do not wait for production ceilings or upgrades. Prioritize Colossi against the observed Hydralisk composition, then Immortals and Stalkers. Keep the Observer escort. Add two Assimilators and grow workers into available gas saturation and the fourth base as it completes; transfer workers from the oldest mineral line. Existing pending Nexus and Robotics Facility satisfy their goals. Build Pylons for forecast demand. Ground weapons is secondary to combat reinforcements. Enemy sightings are historical, so retreat if the army falls below the threshold."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,711.0714285714287,72,4,attack,60,40,16,"Continue attacking the enemy expansion, reinforce with Colossi, and saturate the fresh fourth base as the oldest mineral line depletes.","Maintain the current attack; do not wait for production ceilings or upgrades. Save for Colossi so cheap purchases cannot starve splash production. Reinforce with Immortals and Stalkers, retaining one Observer escort. Saturate the empty fourth mineral line through worker redistribution and limited Probe production; existing bases have ample remaining minerals overall. No additional gas infrastructure is needed. Pending Pylons should finish supply capacity; build further only for losses or power needs. Start Forge and ground weapons after combat production. Ceilings allow replacement losses and need not all fit simultaneously at 200 supply. After clearing the target, continue automatic enemy-building targeting and expansion searches."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,745.1785714285714,72,5,attack,60,40,16,"Press the attack into the enemy main, replenish the ground army, and prepare a fifth mineral base before the oldest base depletes.","Continue the current attack immediately with automatic building targeting; the isolated Ravager sighting does not justify retreat. Complete the fourth Colossus, then reinforce losses with Immortals and Stalkers. Start ground weapons when the pending Forge finishes. Maintain one Observer escort. Build the fifth Nexus as the oldest mineral line depletes and transfer existing workers; keep workers capped at 72 and add no gas infrastructure. At 200 supply, spend on the expansion and upgrade while awaiting combat losses. Army ceilings are replacements, not prerequisites for attacking. Add Pylons only for lost supply or power repair. Search expansions after remembered enemy buildings are cleared."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-hard-002,807.1428571428572,72,5,attack,60,40,,Continue clearing enemy expansions while improving ground upgrades and replenishing combat losses.,"Maintain the current attack and automatic expansion search with the Observer escort. Do not wait for production ceilings or upgrades. At 200 supply, build Twilight Council, research Charge, and start ground weapons 2 after weapons 1 finishes; add two Gateways for replacements. Replenish Colossi and Immortals as supply opens. Keep 72 workers, transfer from the depleted mineral line to the pending fifth base, and add no gas. Pylons are only for lost supply or power repair. Retry failed warp-ins at valid powered placements."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-harder-001,19.821428571428573,30,2,defend,16,8,,"Build mineral income, establish Gateway defense, and expand safely against Zerg.","Train Probes immediately and Chronoboost Nexus. Build first Pylon by 11 supply, then first Gateway and one Assimilator. Add Cybernetics Core and initial defenders; scout after Gateway starts. Expand near 19 workers if safe, before second Gateway. Pause workers at actual saturation until expansion provides mineral capacity. Add subsequent Pylons as supply requires. Prioritize defenders over research if attacked."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-harder-001,74.10714285714286,32,2,defend,16,8,21,"Accelerate mineral income, establish Gateway defense, and secure a second base.",Keep Probe production active and Chronoboost Nexus when legal. The first Pylon is pending; build the first Gateway as soon as it finishes and 150 minerals are available. Follow with Cybernetics Core and an initial Zealot. Keep one Assimilator. At 19 workers save for the natural Nexus; avoid oversaturating the main while it builds. Add the second Gateway after expansion starts. Produce Stalkers and start Warpgate research after initial defense. Build additional Pylons only as forecast requires. Enemy army remains unknown; defend locally.
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-harder-001,120.00000000000001,36,2,defend,18,8,21,Complete early defenses and expand mineral income onto two bases.,"Continue Probes and build Cybernetics Core immediately when the pending Gateway finishes. Train an initial Zealot, then Stalkers for defense. At 19 workers save for the second Nexus and execute it promptly; pause worker growth near main saturation until expansion can receive workers. Add the second Assimilator and extra Gateways after expansion starts. Start Warpgate after the first Stalker. Build Pylons as forecast requires and Chronoboost worker production when legal. Enemy forces remain unknown; defend locally."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-harder-001,169.10714285714286,38,2,defend,24,10,21,"Secure the second Nexus, grow two-base income, and establish Gateway–Immortal defense.","Save the remaining minerals for the second Nexus and build it promptly. Resume Probes after expansion starts; pause near 22 workers until the natural approaches completion, then grow toward 38. Use existing Assimilators; no additional gas buildings needed. Once Core finishes, train initial Stalkers and start Warpgate. Add Gateways and one Robotics Facility after expansion starts; prioritize the first Immortal before the Observer. Add Pylons as forecast requires. Defend both bases and Chronoboost Probes when legal. Enemy military strength remains unknown."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-harder-001,229.46428571428572,38,2,defend,28,12,26,Saturate the completing natural and build a reliable Stalker–Immortal defense with detection.,"Main mineral line is saturated. Pause extra Probes until the natural nears completion, then prioritize continuous worker production toward two-base saturation. Train initial Stalkers before additional Zealots. Build the Robotics Facility promptly once its reserve activates; prioritize the first Immortal, then one Observer. Add the third Gateway after income improves. Keep the existing two Assimilators; Warpgate is already researching. Build Pylons as forecast requires, not all at once. Defend both bases while enemy strength is unknown; continue the assigned scout and Chronoboost worker production."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-harder-001,278.39285714285717,38,2,defend,28,12,,Saturate both mineral lines and establish Stalker–Immortal defense with detection.,"Prioritize Probes into the natural until 32 mineral workers plus six gas workers are supported. Keep two Assimilators. The Robotics Facility is already pending; do not duplicate it. Once ready, save for the first Immortal before optional Gateway expansion or additional Zealots, then obtain one Observer and continue Immortals. Produce Stalkers for ranged defense. Add the third Gateway as mineral income improves. Build Pylons according to supply forecasting. Defend both bases, continue the assigned scout, and Chronoboost Probes when available."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-harder-001,386.42857142857144,57,3,defend,40,20,,"Rebuild a durable home defense, then expand the saturated economy to three bases.","Immediately reinforce with Stalkers and Zealots while the first Immortal finishes; keep producing Immortals whenever the Robotics Facility is available. Recent losses and roach sightings warrant local defense. Finish the pending battery. Both mineral lines are saturated: add the third Assimilator, supporting up to 41 workers before expansion. Start the third Nexus once defense reaches roughly 24 ready combat supply and home is clear; do not wait for army ceilings. Grow toward 57 workers as the third finishes. Add Gateways after initial reinforcements, maintain forecast supply, and retain the Observer escort."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-harder-001,447.8571428571429,57,3,attack,48,26,21,"Secure a third base, maintain Immortal-led production, and attack once the rebuilt army reaches 48 ready combat supply.","Save for the third Nexus now; existing mineral and gas lines are saturated. Pause Probe production until the third nears completion, then fill its mineral line toward 57 workers. Maintain forecast Pylon headroom. Continue Immortals and gateway reinforcements; retry failed Stalker placement after checking powered space rather than adding unrelated technology. Add Twilight and Charge after expansion and initial reinforcements. Attack at 48 ready combat supply without waiting for production ceilings or Charge. Retain the Observer escort and withdraw if combat supply falls below 26."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-harder-001,604.1071428571429,66,4,attack,36,26,21,Maintain pressure with Immortal and charged Zealot reinforcements while securing a fourth mineral line.,"Continue the existing attack without waiting for ceilings or upgrades. Reserve the fourth Nexus now, then prioritize Immortals and Zealot reinforcements; Charge is already researching. Keep the Observer escort. Existing mineral lines are saturated: add workers only as new gas or fourth-base mineral capacity becomes available. Transfer excess workers from the declining natural. Add one gas, then extra Gateways and ground weapons behind combat production. Build Pylons only for forecast demand or power repair. Withdraw below 26 ready combat supply."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-003,36.07142857142858,28,2,defend,16,8,,Establish a protected two-base economy with Gateway units and Warpgate research.,"Train Probes immediately and Chronoboost the Nexus. Start the first Pylon around 10 workers, then Gateway; add one Assimilator around 15 workers and Core after Gateway completion. Produce an early Zealot for defense. Prioritize the natural Nexus around 17-19 workers before the second Gateway or filling army ceilings unless attacked. Keep mineral saturation at 16 plus three gas workers until expansion capacity becomes available. Add subsequent Pylons as supply approaches capacity. Scout after the first Gateway starts; defend locally and favor units over expansion if an early rush is revealed."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-003,94.28571428571429,30,2,defend,16,8,22,"Start the delayed Gateway immediately, establish basic defense, and expand to sustain worker growth.","Save 150 minerals and start the Gateway now; its reserve ends once started. Resume continuous Probes and Nexus Chronoboost. Build the Core after Gateway completion and produce one defensive Zealot. Keep the existing single gas; prioritize mineral saturation. Start the natural around 19 workers before filling army ceilings. Pause worker growth at 19 until the natural is underway, then grow toward 30 as it completes. Produce Stalkers and start Warpgate research after the Core. Add Pylons as forecast requires. Stay home; if attacked, prioritize combat production over expansion. The remembered Hatchery alone does not indicate a rush."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-003,203.57142857142858,41,2,defend,30,14,21,"Expand immediately, saturate two bases, and establish Gateway–Immortal defense.","Save the remaining minerals and start the natural immediately. Pause Probes until expansion construction starts; limit further growth until new mineral capacity becomes available. Add a second Gateway and defensive Stalkers, then the second gas and Robotics Facility. Add the third gas after the natural is mining. Prioritize the first Immortal over the Observer, then maintain mixed Gateway production. Build one battery at the natural if threatened. Add Pylons as forecast requires. Keep defending both bases and continue existing scouting; enemy army strength remains unknown."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-003,264.2857142857143,44,2,defend,36,16,26,Saturate the finishing natural and establish Gateway–Immortal defense.,"Save for Robotics now; the natural, Pylon, second Gateway and battery are already pending. Pause worker growth while the sole ready mineral line is saturated; resume when the natural completes. Prioritize mineral saturation, adding third gas around 36 workers and fourth around 40. Produce the first Immortal before the Observer, then mix Stalkers and Zealots. Add Gateways as income rises and Pylons as forecast requires. Defend both bases and continue existing scouting; enemy strength remains unknown."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-003,332.8571428571429,44,2,defend,40,20,14,Saturate two mineral lines and build a credible Immortal–Gateway army while defending both bases.,"Build the forecast Pylon, then prioritize mineral saturation and the first Immortal as the pending Observer finishes. Existing gas infrastructure is sufficient; stop Assimilator purchases. Keep Immortals producing with Stalker and Zealot support. Add the fourth Gateway as income permits, then Twilight and Charge after the initial defensive army. Build subsequent Pylons on forecast demand. Keep the Observer escort and existing scout active; unseen Zerg strength is unknown. Both mineral lines have ample reserves."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-003,452.3214285714286,60,3,attack,44,26,21,Establish a third mineral line and pressure Zerg with a reinforced Immortal–Gateway army.,"Save for the third Nexus now. Keep workers at 44 until the third approaches completion, then fill its mineral line to reach 60; existing gas infrastructure is sufficient. Prioritize Immortals against remembered Roaches and start Charge when Twilight completes. Attack the remembered Hatchery once 44 ready combat supply is available; do not wait for production ceilings or Charge. Maintain Observer escort, replenish losses, and build Pylons on forecast demand. Add Gateways after expansion and core army production."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-003,589.6428571428572,60,3,defend,70,35,28,"Rebuild defensively with Immortals and Archons, spending banked gas while preserving three-base mineral income.","Regroup at home after heavy losses. Build the Archives immediately, then produce paired High Templar and morph Archons promptly; spellcasting is unavailable. Keep Immortal production active against Roaches and possible Lurkers, with the Observer escort retained and replaced if lost. Add the second Robotics Facility after initial reinforcements. Existing mineral lines and gas are saturated: stop workers at 60 and add no gas. Build Pylons only for forecast supply or power needs. Replenishment ceilings need not all be reached."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-003,647.6785714285714,70,4,attack,72,40,21,"Build Immortal–Archon strength, attack the remembered enemy expansion at 72 ready combat supply, and establish a fourth mineral base.","Start the fourth Nexus now as the main mineral line depletes. Hold workers at 60 until the fourth provides mineral capacity, then grow toward 70; add no gas. Finish pending technology and prioritize Immortals plus paired High Templar immediately morphed into Archons. Keep the Observer escort and replace it if lost: Lurker tech is confirmed. Attack at the ready-supply threshold without waiting for ceilings or upgrades. Maintain forecast supply; add the Forge and ground weapons after core reinforcements."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-003,713.3928571428572,70,4,attack,72,44,,"Continue attacking the enemy expansion, convert existing Templar into Archons, and reinforce while the fourth base restores mineral capacity.","Maintain the current attack without waiting for production ceilings. Morph available Templar pairs immediately; replenish Templar only after using the existing backlog. Keep Observer detection with the army and replace losses. Prioritize Immortals against roach/ravager forces. Retry failed warp-ins at legal powered placements. Pause workers until the pending fourth Nexus opens mineral capacity, then grow to 70 and transfer workers from the depleted base. Add gas after mineral transfers. Start ground weapons when the pending Forge completes. Ceilings are replacements, not simultaneous requirements at maximum supply."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-003,766.4285714285714,70,5,attack,72,44,21,"Continue the attack into the enemy main, reinforce losses, and establish a fifth mineral base before the oldest base depletes.","Keep attacking immediately; production ceilings must not delay the army. Convert available Templar pairs to Archons, retrying only when legally available; avoid increasing the existing Templar backlog. Keep Observer detection with the army. Save for the fifth Nexus and transfer miners from the base with 640 minerals remaining. Hold workers at 70 and add no gas infrastructure. Replace combat losses with Immortals, Zealots and Stalkers. Start weapons level two after level one completes. At 200 supply, replenish losses rather than trying to reach every ceiling. Search expansions after remembered enemy structures are cleared."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,23.214285714285715,28,2,defend,16,8,,Build a safe economic opening with Gateway defense and a natural expansion.,"Train Probes immediately and Chronoboost the Nexus. Build first Pylon around 10 workers, then Gateway, one Assimilator and Cybernetics Core. Produce initial defenders; expand around 19 workers if safe, before the second Gateway. Hold workers at 19 until expansion starts, then grow toward 28 as it completes. Add Pylons with supply demand. Scout after the first Gateway starts; defend locally against early Zerg pressure."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,82.67857142857143,32,2,defend,16,8,21,"Establish Gateway defense, saturate the main and expand safely to two bases.","The first Pylon is pending; build the first Gateway immediately when powered and affordable. Resume Probes as supply opens and Chronoboost worker production. Build Core after Gateway and produce initial defenders. Saturate the main at 16 mineral workers and 3 gas workers; hold at 19 until the natural is nearing completion. Save for the natural at 19 workers, then add the second Gateway and grow into new mineral capacity. Prioritize first Stalker before Warpgate research. Add Pylons ahead of supply demand. Scout after Gateway starts and defend locally."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,138.0357142857143,36,2,defend,24,10,21,Secure two-base mineral income and establish Gateway defense against unknown Zerg pressure.,"Complete the pending Gateway, then build Core and first Zealot promptly. Save for the natural at 20 workers; pause worker growth around main saturation until the natural nears completion. Prioritize first Adept and Stalker before Warpgate research. Saturate existing gas before adding the second Assimilator after expansion starts. Add Gateways after the natural and initial defenders. Resume continuous workers into new mineral capacity, Chronoboost Nexus production, and add Pylons as forecast requires. Maintain local defense; unseen Zerg forces remain unknown."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,199.2857142857143,38,2,defend,28,12,,Saturate the pending natural while establishing Gateway defense and initial Robotics support.,"Expansion is already pending: release expansion savings. Train a Probe now, then add the forecast Pylon and initial defenders. Limit workers near 23 until the natural nears completion, then grow toward 38 across both mineral lines and existing gas. Produce an Adept and Stalker as Core abilities become available; use Zealots for immediate defense meanwhile. Start Warpgate after initial defenders. Add Robotics and the third Gateway as income grows, prioritizing the first Immortal before the Observer. Build Pylons progressively with supply demand. Keep the army defending both bases and continue the assigned scout."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,234.10714285714286,38,2,defend,28,12,,"Defend against Zerg harassment, saturate the completing natural, and build a Gateway army with initial Immortal support.","Keep defenders at the threatened base. One visible Zergling warrants local defense while maintaining economic growth. Pending Pylon and Nexus will relieve the supply block; add further Pylons with forecast demand. Hold workers near 23 until the natural completes, then saturate its minerals toward 38 total using existing gas. Prioritize Adepts against Zerglings, with Stalkers for ranged and air coverage. When Robotics completes, produce the first Immortal before the Observer. Add the third Gateway as mineral income grows. Continue the assigned scout."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,298.0357142857143,38,2,defend,36,16,,Saturate both bases and build a defensive Gateway army with Immortal support.,"Prioritize natural mineral saturation with continuous Probe production and Nexus Chronoboost. Existing two gases suffice. Once the pending Observer finishes, prioritize the first Immortal over extra infrastructure, then alternate Gateway reinforcements and Immortals. Add Gateways as mineral income grows; build the battery at the natural after initial combat reinforcement. Forecast Pylons before supply blocks. Keep the Observer escort and continue the assigned Probe scout. Unseen Zerg strength is unknown; hold local defense."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,343.5714285714286,38,2,defend,40,20,14,"Hold both bases, finish mineral saturation, and establish Immortal-supported Gateway production.","Complete the battery at the threatened base and let the existing army handle the visible Zergling. Saturate the remaining mineral slots, then stop Probes at 38; two gases suffice. Save for Immortals so cheaper purchases cannot continually starve Robotics production. Add Stalkers for anti-air coverage and Adepts against light units. Build forecast Pylons and finish four Gateways. Keep the Observer escort and existing scout active. The single visible Zergling does not establish enemy army strength."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,383.2142857142857,54,3,defend,44,24,21,"Defend both saturated bases, establish a third, and build an Adept–Stalker army supported by Immortals.","Clear the nearby Zergling with the existing army. Build forecast Pylons, then secure the third Nexus; current mineral lines are saturated. Resume Probes as third-base mineral capacity becomes available. Prioritize Stalkers for missing anti-air coverage and additional Immortals when Robotics becomes idle. Keep two Assimilators and the Observer escort. Add Twilight and Glaives after expansion and core combat production. Preserve existing scouting; unseen enemy forces remain unknown."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,440.89285714285717,54,3,attack,40,26,14,"Attack the remembered Zerg main now, reinforce with Immortals and Stalkers, and saturate the completing third base.","Issue the attack immediately; reinforcement ceilings and upgrades must not delay it. Save for Immortals against the remembered Roach Warren, then prioritize Stalkers for anti-air coverage. Add Probes as the third completes and mineral capacity opens; retain two Assimilators. Build forecast Pylons and keep the Observer escort. Add Twilight and Glaives to strengthen existing Adepts. Enemy sightings are historical; retreat on heavy losses."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,535.3571428571429,60,3,defend,60,32,,"Withdraw after heavy losses, rebuild a cohesive Zealot–Immortal army, and increase gas income on three saturated bases.","Apply MULTI-DEFEND immediately to stop the costly attack and regroup near home. Add two Assimilators; grow workers only as gas capacity opens. Prioritize Immortals when the Robotics Facility becomes available, research Charge when Twilight completes, and reinforce with Zealots and Stalkers. Preserve the Observer escort. Add Gateways to spend mineral income, and Pylons only as supply forecasting requires. Existing mineral reserves support three bases through this horizon; avoid further expansion spending now."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,596.4285714285714,64,3,attack,80,45,30,"Rebuild against Roach–Hydralisk forces, add Colossus splash damage, and attack once the army recovers.","Regroup until 80 ready combat supply, then attack without waiting for production ceilings or upgrades. Complete the next Gateway and raise gas capacity to six Assimilators; add workers only as gas jobs open. Save for Robotics Bay, then prioritize Colossi over additional Immortals and Stalkers. Research Charge after the ongoing Glaives research finishes. Spend surplus minerals on Zealots and Gateways; add Pylons according to forecasting. Preserve the Observer escort. Existing mineral reserves support this horizon; reassess expansion as the oldest base depletes."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,624.1071428571429,68,4,defend,80,45,21,"Restore base defense, add Colossus splash against Hydralisks, and establish a fourth base before main minerals decline.","Use MULTI-DEFEND immediately to release the retreat and protect the attacked third. Establish the fourth while existing forces handle the visible Zerglings. Prioritize Colossi when the pending Robotics Bay finishes; avoid spending their gas on repeated Stalker production. Start Charge after Glaives completes, then Thermal Lance. Keep the Observer escort. Fill available gas jobs, but pause workers at 64 until the fourth opens mineral jobs. Forecast Pylons continuously. Army ceilings are replenishment limits, not simultaneous requirements."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,680.8928571428572,74,4,attack,80,48,16,Attack with the recovered army now; reinforce with Colossi and sustain four-base income.,"Execute MULTI-ATTACK immediately; do not wait for Colossi or upgrades. Reserve for Colossus production so cheap purchases cannot starve splash. Build forecast Pylons, then Thermal Lance and reinforcements. Keep Observer escort. Add workers beyond 68 only as the fourth finishes and mineral jobs open. Retry failed warp-ins at valid powered placements. Ceilings support replacements, not simultaneous completion at 200 supply."
Large-Language-Models-play-StarCraftII/jev_runs/macro-v2-20260922-veryhard-004,737.8571428571429,74,5,defend,85,50,21,"Repel the attack at home, preserve workers, and establish replacement mineral income while reinforcing with Colossi.","Apply MULTI-DEFEND immediately to protect the attacked main. Emergency combat production may override expansion savings. Establish a fifth Nexus before the depleted base exhausts; transfer existing workers and stop worker growth at 74. Prioritize Colossi when the Robotics Facility becomes available; Thermal Lance is already underway. Preserve the Observer escort against burrowed units. At 200 supply, spend on expansion and ground weapons while replacing losses; army ceilings are not simultaneous requirements. Additional Pylons are only for lost supply or power repair."
